estabelecimento_referencia,position,title,rating,reviews,type,thumbnail,latitude,longitude
Saint Decor Bistrô,5,Dannibale Bistrô,4.0,5,['Bistro'],http://www.google.com/maps/vt/data=Gpkkeamf7vJNmA1W8NKLy09vr6cUxvoRX2Yya_dK1g1kksHwC0va33-gijaXg_F65PNtgcTfNIgrV5olYZpx8bFRAsoo8njwrupXJdPYVtQZYj1FG8q7y1Vaxxt7Skmu-7c-svP1ABkayx2vvFj22hY,-23.557107199999997,-46.5618559
Bakeri Nord,1,Docinho,0.0,0,['Bakery'],http://www.google.com/maps/vt/data=O-8oSRvzjfwKVh9gdiTLN1i-jRjjwnGrE__nGYJT0_Zqmb19r34mwgUmE1SEFNBpWx8sD2wz5qAuIespsEBgkn8VcxaDC-I16H8lxDlI5bhe7KOlBdatNq4ZG4Jo4S7aGkXaEpnSyxryg-_E4gPk4M4,-23.5435214,-46.6385411
Bakeri Nord,2,Padaria Campos Elíseos,4.4,3660,"['Bakery', 'Breakfast']",https://lh5.googleusercontent.com/p/AF1QipMcZXUFTKhZ_AL7rPZ7XqWrWUiGF7ZDkDWoEzSv=w156-h156-n-k-no,-23.5339489,-46.6480064
Bakeri Nord,3,Cakess,4.7,209,"['Coffee shop', 'Brunch', 'Cake shop', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipM5XcEP2wIJxjqp1wGDw95v0vqRegBVbRLLpM3U=w156-h156-n-k-no,-23.552296,-46.660761699999995
Bakeri Nord,4,Bárbara Damarins Cake,4.7,30,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPog2MHuZT4sXdUCcSFlnn7trOdOFRwXJY7RguD=w156-h156-n-k-no,-23.5385653,-46.6519991
Café Cherie,1,The Coffee,4.6,115,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipNiNyRa_wBGgJytQCyGp9AsvKbM0BQFTwpm-2Bq=w156-h156-n-k-no,-23.561607199999997,-46.6709995
Café Cherie,2,Oscar Bistrô,4.5,445,"['Bistro', 'Cafe', 'Coffee shop', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipPqUiwdpsc1dJoKjn1e7xbpmLimALZeDC1X5ER7=w156-h156-n-k-no,-23.5642879,-46.667999800000004
Café Cherie,3,Roz Café,5.0,1,['Cafeteria'],https://lh5.googleusercontent.com/p/AF1QipPlyaBBwLfm7Qi8VItp4Mud2404cAXOPsCpVcG8=w156-h156-n-k-no,-23.561153299999997,-46.6705226
Café Cherie,4,Café do Feirante,3.0,1,['Coffee shop'],http://www.google.com/maps/vt/data=UTMSHVf5HjWjKwMwzcfPyrFuEjW9m2EwXq38uuKmhdcClI0bBlrpteqq7fyrm9RywCULCc_dcXRYD4tkZQj4W4Sw4JxZ99hwvtrnq073Iw0JArXfJah2fGlwRdA39I-BBBT2VC9BiPjJBku-_iSsNM8,-23.563939599999998,-46.6678742
Café Cherie,5,Mon Chéri - Crepe & Café Sampa,4.8,26,"['Crêperie', 'Cocktail bar', 'Coffee shop', 'Espresso bar', 'Restaurant', 'Sandwich']",https://lh5.googleusercontent.com/p/AF1QipNj-ipSLYc1tZc7HzCBZF9GwtyTjZ75EkPxe8ew=w156-h156-n-k-no,-23.5636516,-46.6643537
