Estabelecimento_ID,inicio,fim,madrugada,manha,tarde,noite,inicio_periodo,fim_periodo
ChIJAQO1AlFYzpQRNi25tKZj-As,11:30,16:30,0,7,65,0,manha,tarde
ChIJ69t2yUVYzpQRoT6Ye8eQC_o,12:0,16:0,0,0,58,0,tarde,tarde
ChIJU5UUx1RYzpQRWUs6_yqQFGc,11:0,23:30,0,15,100,76,manha,noite
ChIJATyQmB1ZzpQRgrG-ddlha30,12:0,15:0,0,0,43,0,tarde,tarde
ChIJ717JOFBYzpQR6ylaW_cggBo,10:0,20:0,0,32,100,17,manha,noite
ChIJtyRW09ZZzpQRLt2nWdS_H1o,18:0,11:0,0,0,13,85,tarde,manha
ChIJ3bvo19VZzpQRDgbV9xTNMQI,12:0,1:0,0,0,100,85,tarde,madrugada
ChIJhayspCtZzpQRysss1ZYGss8,11:0,15:0,0,15,43,0,manha,tarde
ChIJ8XrTtFVYzpQRDJU8eGeZlOA,7:0,23:0,0,83,100,68,manha,noite
ChIJaRlcGqtZzpQRnipueKeTtgk,6:30,20:0,0,92,100,17,manha,noite
ChIJg8lW78VZzpQRUOB-PuB-VpQ,12:0,15:30,0,0,51,0,tarde,tarde
ChIJhTti8cBZzpQRWEGjjpBJKfQ,8:0,17:0,0,66,72,0,manha,tarde
ChIJO_6vhBdZzpQR9h2_WlFZjGs,11:30,16:30,0,7,65,0,manha,tarde
ChIJKcc_OnZXzpQRuFATIPXZLTM,12:0,23:0,0,0,100,68,tarde,noite
ChIJxTgZX2dYzpQRuvxRC1Z7Ojg,11:30,14:30,0,7,36,0,manha,tarde
ChIJF7LxsbZZzpQRM6yZAVVQdaw,11:30,16:0,0,7,58,0,manha,tarde
ChIJ0bq1lERZzpQRklYezfECWAI,,,0,0,0,0,,
ChIJ2_80jNpZzpQRSl18QEL4OpY,12:0,15:0,0,0,43,0,tarde,tarde
ChIJybrdbVZZzpQREIC6U89b0ao,9:0,21:0,0,49,100,34,manha,noite
ChIJyyujYHf4zpQRZaGRWU7ZhmY,12:0,15:30,0,0,51,0,tarde,tarde
ChIJ1z605XdZzpQR-RnkFqONWrc,11:45,15:0,0,3,43,0,manha,tarde
ChIJtQYSsqxZzpQRNBozG6nHpLY,11:0,16:0,0,15,58,0,manha,tarde
ChIJbcNFLs1ZzpQRwiqazMv-bb4,6:0,24:0,0,100,100,85,manha,noite
ChIJIQcuwPNXzpQRjKZZ6x8rLHo,18:30,10:30,0,0,6,85,tarde,manha
ChIJK2e0_ZZZzpQR-2VMPtkTjTU,11:30,15:0,0,7,43,0,manha,tarde
ChIJSYUSx6ZXzpQRkHLfqBEAEow,12:0,14:30,0,0,36,0,tarde,tarde
ChIJ047Tiq5XzpQRKaQB2LWYIrs,11:30,15:30,0,7,51,0,manha,tarde
ChIJ5zh94NZZzpQRRKDDOyn6BEY,12:0,15:0,0,0,43,0,tarde,tarde
ChIJYzoU1PhYzpQRjmYsKF9otzI,5:30,17:0,8,100,72,0,madrugada,tarde
ChIJ_24wa8FZzpQR2qtTCwBXdcM,11:30,15:0,0,7,43,0,manha,tarde
ChIJgSfl89VZzpQRY5yT9RYJSXE,12:0,15:0,0,0,43,0,tarde,tarde
ChIJW2wfydJZzpQRhhJhpOjiVFA,19:0,11:0,0,0,0,85,noite,manha
ChIJP-NxwqZXzpQR9P3yA2ffESw,12:0,16:0,0,0,58,0,tarde,tarde
ChIJx67-3_RXzpQRllVzn0uYXzc,12:0,15:0,0,0,43,0,tarde,tarde
ChIJdXzasgZazpQRpNNlEEvxtEY,11:30,15:0,0,7,43,0,manha,tarde
ChIJwWg0iMhZzpQRPplLNLkckmY,12:0,23:0,0,0,100,68,tarde,noite
ChIJtdgv9e1ZzpQRQlEPEQI8Ho4,11:45,15:0,0,3,43,0,manha,tarde
ChIJr2T_gk5YzpQRdN72k-XSuYg,10:45,18:49,0,19,99,0,manha,tarde
ChIJ60-iUndezpQRALwR7U30jPE,11:30,15:0,0,7,43,0,manha,tarde
ChIJ8W64H1VYzpQR9-MNCeoyoWA,11:0,16:0,0,15,58,0,manha,tarde
ChIJJ3m4CTNYzpQRc2d4v_P7pfY,11:0,14:30,0,15,36,0,manha,tarde
ChIJa34-aKNZzpQR0-lOxURZxLA,11:30,24:0,0,7,100,85,manha,noite
ChIJp6q6o6hZzpQRvNSOQyRmhnw,12:0,15:0,0,0,43,0,tarde,tarde
ChIJq8K-mppZzpQRFK99iwMkUjk,5:30,24:0,8,100,100,85,madrugada,noite
ChIJG6SgAk5YzpQRNIep0gHPiAk,11:0,16:0,0,15,58,0,manha,tarde
ChIJoYOqsVVYzpQRwTeGuTeOOwY,6:0,17:0,0,100,72,0,manha,tarde
ChIJkT0ot_hYzpQRxG0ur0Cveck,5:0,17:0,18,100,72,0,madrugada,tarde
ChIJAeLtYUhYzpQRrtle4xgBtJw,6:0,21:0,0,100,100,34,manha,noite
ChIJpb7JJZBZzpQRQrHP-vOYNco,12:0,15:0,0,0,43,0,tarde,tarde
ChIJtw4JpahZzpQRAioJ73Y39Ko,11:30,15:0,0,7,43,0,manha,tarde
ChIJSazC5pz5zpQR_8dkS63LLKU,11:0,22:0,0,15,100,51,manha,noite
ChIJ1X6zrcT5zpQRNalIGILnhn0,11:39,15:0,0,4,43,0,manha,tarde
ChIJ9ay5PX33zpQRpI7r2903r9Q,,,0,0,0,0,,
ChIJf2rRGOH3zpQRFm7yK-SF0ac,8:0,15:0,0,66,43,0,manha,tarde
ChIJW1TE-IL3zpQRVxWJ8sIbQzY,8:0,20:0,0,66,100,17,manha,noite
ChIJO1ge03z3zpQRQy_r_0oFb_Y,10:30,22:0,0,24,100,51,manha,noite
ChIJTV_jJj_5zpQRnVk1Iw-LuZw,12:0,17:0,0,0,72,0,tarde,tarde
ChIJ6ZBYTiD4zpQR51ImH18LXxw,11:0,16:0,0,15,58,0,manha,tarde
ChIJtU0JBMn3zpQROSk2nTk4XFs,10:30,15:0,0,24,43,0,manha,tarde
ChIJF5zUT9T5zpQRSSajaXHy2CQ,11:30,15:0,0,7,43,0,manha,tarde
ChIJhUaFJMz3zpQRivmWT8OyRoM,11:0,16:0,0,15,58,0,manha,tarde
ChIJbaGHWQD3zpQRmIi0ULOx-Q0,11:0,15:0,0,15,43,0,manha,tarde
