Estabelecimento_ID,sunday,monday,tuesday,wednesday,thursday,friday,saturday,aberto_dia_util,aberto_final_de_semana
ChIJoYOqsVVYzpQRwTeGuTeOOwY,0,1,1,1,1,1,1,100.0,66.7
ChIJkT0ot_hYzpQRxG0ur0Cveck,1,1,1,1,1,1,1,100.0,100.0
ChIJAeLtYUhYzpQRrtle4xgBtJw,1,1,1,1,1,1,1,100.0,100.0
ChIJpb7JJZBZzpQRQrHP-vOYNco,1,0,1,1,1,1,1,75.0,100.0
ChIJtw4JpahZzpQRAioJ73Y39Ko,1,0,1,1,1,1,1,75.0,100.0
ChIJSazC5pz5zpQR_8dkS63LLKU,1,1,1,1,1,1,1,100.0,100.0
ChIJ1X6zrcT5zpQRNalIGILnhn0,0,1,1,1,1,1,1,100.0,66.7
ChIJ9ay5PX33zpQRpI7r2903r9Q,1,0,1,1,1,1,1,75.0,100.0
ChIJf2rRGOH3zpQRFm7yK-SF0ac,0,1,1,1,1,1,1,100.0,66.7
ChIJW1TE-IL3zpQRVxWJ8sIbQzY,1,1,0,1,1,1,1,75.0,100.0
ChIJO1ge03z3zpQRQy_r_0oFb_Y,1,1,1,1,1,1,1,100.0,100.0
ChIJTV_jJj_5zpQRnVk1Iw-LuZw,1,0,1,1,1,1,1,75.0,100.0
ChIJ6ZBYTiD4zpQR51ImH18LXxw,0,1,1,1,1,1,1,100.0,66.7
ChIJtU0JBMn3zpQROSk2nTk4XFs,0,1,1,1,1,1,1,100.0,66.7
ChIJF5zUT9T5zpQRSSajaXHy2CQ,1,1,1,1,1,1,1,100.0,100.0
ChIJhUaFJMz3zpQRivmWT8OyRoM,0,1,1,1,1,1,1,100.0,66.7
ChIJbaGHWQD3zpQRmIi0ULOx-Q0,0,1,1,1,1,1,1,100.0,66.7
ChIJN7NrfCz4zpQRj86K_7EhmHw,0,1,1,1,1,1,1,100.0,66.7
ChIJYWyKj973zpQRkUgS8WkGhNM,1,0,1,1,1,1,1,75.0,100.0
ChIJFbi5PZf5zpQRal9dfXGK4kM,1,1,1,1,1,1,1,100.0,100.0
ChIJZcU7PX33zpQRrunucVUD688,0,1,1,1,1,1,1,100.0,66.7
ChIJD0lQoK5QzpQRUNWMgKzyFpk,1,1,1,1,1,1,1,100.0,100.0
ChIJ64q3xtn5zpQRgyu48iHkIZ0,1,1,1,1,1,1,1,100.0,100.0
ChIJzxOM-Lb5zpQRlpLjeNnV4ns,0,1,1,1,1,1,1,100.0,66.7
ChIJt_PsxzX2zpQRYLNGTDlE8-Q,1,0,1,1,1,1,1,75.0,100.0
ChIJpfmyrbBezpQRHk6hXwLxUQ8,1,1,1,1,1,1,1,100.0,100.0
ChIJs7mfsN35zpQRzfDI4iRe4s8,1,1,1,1,1,1,1,100.0,100.0
ChIJQ6fMYs35zpQRImkM1mBXzNw,1,1,1,1,1,1,1,100.0,100.0
ChIJGWYk5a_5zpQRR8DDoslwpfY,1,1,1,1,1,1,1,100.0,100.0
ChIJWSAyR6P3zpQRMyePaS0mxs4,1,0,1,1,1,1,1,75.0,100.0
ChIJwX6Krtr3zpQRIzaY_vZlh0E,1,0,1,1,1,1,1,75.0,100.0
ChIJS7160cX3zpQRjV1EERsJnx0,0,1,1,1,1,1,1,100.0,66.7
ChIJR8WPdi_4zpQRtOPZaOmsAVk,1,1,1,1,1,1,1,100.0,100.0
